TP_LINGUA;NU_NOTA_MT;NU_NOTA_CH;NU_NOTA_CN;NU_NOTA_LC;NU_CORRETAS_MT;NU_CORRETAS_CH;NU_CORRETAS_CN;NU_CORRETAS_LC;TX_COERENCIA_MT;TX_COERENCIA_CH;TX_COERENCIA_CN;TX_COERENCIA_LC;CO_PROVA_MT;CO_PROVA_CH;CO_PROVA_CN;CO_PROVA_LC
0;590.4;581.3;564.0;604.5;14;22;15;26;011000010000011001000010000001000010011010122;100010111010111101001001100010100000010111102;000010001001100100001001010000011011100012222;000101111111101101101111100101110100001100100;1183.0;1177.0;1187.0;1181.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;515.7;501.6;486.4;384.9;11;14;10;13;000000101010001000110110000000001000000101022;000011111101000010000001010000000101000001102;001110000100000010010000000010010001100002222;110100000011000001001000100100100001010000100;1076.0;1055.0;1086.0;1065.0
1;757.7;669.4;571.6;656.7;22;34;15;34;111101010001001010000110101010101011000011022;111101111111101111101010111010110110101111102;001000001100000100001111001100101010110002222;110111101110111111011001111111011111011001011;1077.0;1058.0;1088.0;1067.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;487.4;548.2;509.4;525.7;10;20;13;20;010001000000001010100100000000000000010101022;101101100100000010001011011110011000101010012;000100111000001000101010000100000110000002222;110110101000000010011101000010110001001011101;1077.0;1058.0;1088.0;1067.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;656.1;615.7;486.6;567.8;18;28;12;25;010001000010111110010011000001100100000011122;111010101101101001111010110110001111001111002;110111001100000000010100000000000100000002222;101101011101110100110010111000110110111000100;1078.0;1056.0;1087.0;1066.0
0;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
0;412.1;543.5;438.4;488.8;8;21;10;16;100001010000000000010000010000100000100001022;110000001001101000110110011111001010100100112;010000100000000101001000000100010101100002222;010001011100011100010000010100100100000101100;1078.0;1056.0;1087.0;1066.0
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;nan;nan;nan;nan;0;0;0;0;;;;;nan;nan;nan;nan
1;506.0;490.6;441.5;534.6;11;13;10;22;000101010001000010010000000101000110000010022;101100100101000010101000000111000000000001002;001100000000000101000000000100010110000002222;110110111100000011000011011100001100001011011;1077.0;1058.0;1088.0;1067.0
